date,month,vendor,pickup_time,dropoff_time,duration,passengers,distance,start_long,start_lat,end_long,end_lat,payment_type,fare,surcharge,tip,tolls,total
2009-01-01,2009-01,CMT,2009-01-01D00:04:41.000000000,2009-01-01D00:07:48.000000000,0D00:03:07.000000000,1,0.6,-73.98168,40.73295,-73.98947,40.73432,CASH,4.6,0,0,0,4.6
2009-01-01,2009-01,CMT,2009-01-01D00:04:41.000000000,2009-01-01D00:28:00.000000000,0D00:23:19.000000000,2,3.6,-74.00284,40.72964,-73.98588,40.7655,CASH,15,0,0,0,15
2009-01-01,2009-01,CMT,2009-01-01D00:04:41.000000000,2009-01-01D00:18:30.000000000,0D00:13:49.000000000,1,2.7,-73.94612,40.77736,-73.97696,40.75626,CASH,10.6,0,0,0,10.6
2009-01-01,2009-01,CMT,2009-01-01D00:04:41.000000000,2009-01-01D00:07:17.000000000,0D00:02:36.000000000,1,0.5,-73.99381,40.7236,-74.00133,40.72651,CASH,4.2,0,0,0,4.2
2009-01-01,2009-01,DDS,2009-01-01D00:04:41.000000000,2009-01-01D00:21:08.000000000,0D00:16:27.000000000,1,2.8,-74.00577,40.7265,-73.97817,40.75142,CASH,10.1,0.5,0,0,10.6
2009-01-01,2009-01,CMT,2009-01-01D00:04:41.000000000,2009-01-01D00:13:57.000000000,0D00:09:16.000000000,1,1.5,-73.79934,40.71388,-73.79934,40.71388,CASH,7.8,0,0,0,7.8
2009-01-01,2009-01,CMT,2009-01-01D00:04:42.000000000,2009-01-01D00:25:42.000000000,0D00:21:00.000000000,1,3.5,-73.98892,40.74014,-73.98277,40.77729,CASH,13.8,0,0,0,13.8
2009-01-01,2009-01,CMT,2009-01-01D00:04:42.000000000,2009-01-01D00:17:16.000000000,0D00:12:34.000000000,1,5.3,-73.96817,40.75598,-73.90693,40.77539,CASH,14.2,0,0,0,14.2
2009-01-01,2009-01,CMT,2009-01-01D00:04:43.000000000,2009-01-01D00:16:42.000000000,0D00:11:59.000000000,1,3.4,-73.99215,40.75902,-73.959,40.78073,CASH,11.4,0,0,0,11.4
2009-01-01,2009-01,CMT,2009-01-01D00:04:43.000000000,2009-01-01D00:08:28.000000000,0D00:03:45.000000000,4,0.6,-73.98394,40.7255,-73.98322,40.73256,CASH,4.6,0,0,0,4.6
